Number,Title,Photo,Year,Artist,Region,Category,Description,image,num,RGB_1,BCT_1,PCT_1,RGB_2,BCT_2,PCT_2,RGB_3,BCT_3,PCT_3,RGB_4,BCT_4,PCT_4,RGB_5,BCT_5,PCT_5,RGB_6,BCT_6,PCT_6,pct_black,pct_white,pct_gray,pct_red,pct_green,pct_yellow,pct_blue,pct_brown,pct_orange,pct_pink,pct_purple,palette,dominant_bct
13,"The Enigma of My Desire or My Mother, My Mother, My Mother",,1929,Salvador Dali,ca,Identity ,dalipaintings.com/enigma-of-desire.jsp,13.jpg,13,"(238, 197, 97)",yellow,24.3,"(182, 125, 87)",brown,18.6,"(134, 133, 163)",purple,15.1,"(230, 219, 214)",white,14.4,"(219, 169, 137)",orange,14.3,"(93, 66, 50)",brown,13.2,0,14.4,0,0,0,24.3,0,31.7,14.3,0,15.1,brown 32%; yellow 24%; purple 15%; white 14%; orange 14%,brown
14,Magic grotto,,1942,Remedios Varo,ca,Ecology & environment,https://www.moma.org/artists/8317-remedios-varo,14.jpg,14,"(208, 135, 123)",brown,27.4,"(163, 105, 97)",brown,22.2,"(116, 68, 64)",brown,17.2,"(227, 179, 169)",pink,13.4,"(60, 27, 28)",black,11.6,"(210, 60, 65)",red,8.3,11.6,0,0,8.3,0,0,0,66.8,0,13.4,0,brown 67%; pink 13%; black 12%; red 8%,brown
15,Garden of love,,1951,Remedios Varo,ca,Ecology & environment,https://artrkl.com/blogs/news/the-garden-paintings-art-history-hasnt-talked-about-enough,15.jpg,15,"(66, 124, 126)",gray,53.2,"(103, 108, 60)",green,12.4,"(211, 213, 183)",white,11,"(138, 169, 139)",green,9.5,"(39, 56, 35)",green,7.7,"(198, 153, 88)",orange,6.1,0,11,53.2,0,29.6,0,0,0,6.1,0,0,gray 53%; green 30%; white 11%; orange 6%,gray
16,Dead Leaves,,1956,Remedios Varo,ca,Warnings,https://historia-arte.com/obras/las-hojas-muertas,16.jpg,16,"(153, 111, 76)",brown,21.8,"(130, 88, 60)",brown,20.2,"(178, 137, 96)",brown,17.8,"(205, 168, 119)",yellow,16.1,"(227, 194, 144)",yellow,14.8,"(100, 58, 40)",brown,9.2,0,0,0,0,0,31,0,69,0,0,0,brown 69%; yellow 31%,brown
17,Visit to the plastic surgeon,,1960,Remedios Varo,ca,Power structures or hierarchies,https://www.sothebys.com/en/buy/auction/2022/modern-evening-auction-4/visita-al-cirujano-plastico,17.jpg,17,"(99, 77, 56)",brown,23.1,"(67, 48, 34)",brown,18.6,"(231, 165, 88)",orange,18.5,"(145, 100, 66)",brown,16.3,"(207, 126, 57)",orange,15.3,"(184, 154, 117)",brown,8.2,0,0,0,0,0,0,0,66.3,33.7,0,0,brown 66%; orange 34%,brown
18,Aurora,,1962,Remedios Varo,ca,Belief and ritual,https://lacamaradelarte.com/obra/aurora-remedios-varo/,18.jpg,18,"(92, 66, 59)",brown,34.7,"(118, 95, 84)",brown,20.4,"(55, 39, 40)",black,15.8,"(152, 80, 51)",brown,11.6,"(163, 137, 114)",brown,11.2,"(214, 120, 56)",orange,6.3,15.8,0,0,0,0,0,0,77.9,6.3,0,0,brown 78%; black 16%; orange 6%,brown
19,Baranquilla,,1982,Alejandro Obregon,ca,Ecology & environment,https://www.wikiart.org/en/alejandro-obregon/baranquilla-1982,19.jpg,19,"(85, 97, 79)",green,25.9,"(226, 64, 63)",red,23.5,"(53, 47, 36)",black,23,"(222, 194, 184)",gray,12.8,"(157, 139, 134)",gray,10,"(203, 161, 43)",yellow,4.8,23,0,22.8,23.5,25.9,4.8,0,0,0,0,0,green 26%; red 24%; black 23%; gray 23%; yellow 5%,green
20,Agua cálida,,1962,Alejandro Obregon,ca,Ecology & environment,https://galeriaduquearango.com/en/artist/alejandro-obregon/,20.jpg,20,"(247, 198, 52)",yellow,30.5,"(43, 33, 22)",black,15.7,"(122, 84, 44)",brown,15.5,"(205, 113, 44)",orange,13.6,"(196, 171, 104)",yellow,13,"(239, 225, 131)",yellow,11.8,15.7,0,0,0,0,55.3,0,15.5,13.6,0,0,yellow 55%; black 16%; brown 15%; orange 14%,yellow
21,Guatavita,,1981,Alejandro Obregon,ca,Ecology & environment,https://galeriaduquearango.com/en/artist/alejandro-obregon/,21.jpg,21,"(103, 146, 184)",blue,28.9,"(53, 59, 62)",black,27.6,"(57, 101, 143)",blue,16.2,"(106, 114, 69)",green,10.4,"(197, 178, 78)",yellow,9.3,"(195, 204, 189)",gray,7.7,27.6,0,7.7,0,10.4,9.3,45,0,0,0,0,blue 45%; black 28%; green 10%; yellow 9%; gray 8%,blue
22,Cóndor,,1987,Alejandro Obregon,ca,Ecology & environment,https://galeriaduquearango.com/en/artist/alejandro-obregon/,22.jpg,22,"(157, 118, 70)",brown,25.2,"(165, 149, 146)",gray,20.9,"(51, 47, 47)",black,20.3,"(216, 191, 177)",gray,16.6,"(88, 95, 126)",blue,10.1,"(238, 227, 228)",white,7,20.3,7,37.4,0,0,0,10.1,25.2,0,0,0,gray 37%; brown 25%; black 20%; blue 10%; white 7%,gray
23,Vientos,,1989,Alejandro Obregon,ca,Ecology & environment,https://galeriaduquearango.com/en/artist/alejandro-obregon/,23.jpg,23,"(16, 11, 16)",black,30.9,"(91, 24, 29)",red,26.1,"(131, 127, 145)",purple,13.5,"(182, 175, 176)",gray,12.9,"(88, 78, 103)",purple,12,"(159, 32, 16)",red,4.5,30.9,0,12.9,30.6,0,0,0,0,0,0,25.5,black 31%; red 31%; purple 25%; gray 13%,black
24,The Dispute,,1979,Joan Tuset,ca,Conflict ,https://www.artavita.com/artists/6607-joan-tuset,24.jpg,24,"(246, 205, 166)",orange,31.3,"(246, 227, 198)",white,24.7,"(239, 117, 78)",orange,16.2,"(245, 167, 123)",orange,15.5,"(196, 75, 45)",red,7,"(60, 6, 5)",red,5.4,0,24.7,0,12.4,0,0,0,0,62.9,0,0,orange 63%; white 25%; red 12%,orange
25,Cupid Asleep,,2019,Joan Tuset,ca,Life experiences,https://joantuset.com/en/presentation,25.jpeg,25,"(222, 217, 195)",white,20,"(147, 197, 128)",green,18.3,"(130, 132, 69)",green,16.4,"(30, 113, 65)",green,16,"(207, 176, 102)",yellow,15.6,"(76, 164, 98)",green,13.7,0,20,0,0,64.4,15.6,0,0,0,0,0,green 64%; white 20%; yellow 16%,green
26,Maternity,,2004,Joan Tuset,ca,Life experiences,https://joantuset.com/en/presentation,26.jpg,26,"(202, 179, 159)",gray,30.3,"(182, 127, 107)",brown,26.5,"(160, 77, 53)",brown,24.4,"(40, 176, 161)",green,7.5,"(76, 62, 35)",brown,5.6,"(214, 180, 54)",yellow,5.6,0,0,30.3,0,7.5,5.6,0,56.6,0,0,0,brown 57%; gray 30%; green 8%; yellow 6%,brown
27,The Abduction of the Pubilla,,1981,Joan Tuset,ca,Power structures or hierarchies,https://joantuset.com/en/presentation,27.jpg,27,"(168, 130, 93)",brown,25,"(203, 166, 131)",brown,17.3,"(214, 209, 195)",white,17.1,"(121, 84, 55)",brown,16.4,"(50, 32, 18)",black,12.1,"(176, 183, 177)",gray,12.1,12.1,17.1,12.1,0,0,0,0,58.7,0,0,0,brown 59%; white 17%; black 12%; gray 12%,brown
28,The Yellow Woman,,1986,Joan Tuset,ca,Identity ,https://joantuset.com/en/presentation,28.jpg,28,"(248, 195, 16)",yellow,40.4,"(243, 242, 231)",white,16.9,"(206, 138, 24)",orange,13.6,"(224, 190, 97)",yellow,13.4,"(226, 216, 175)",white,10.4,"(121, 89, 28)",brown,5.3,0,27.3,0,0,0,53.8,0,5.3,13.6,0,0,yellow 54%; white 27%; orange 14%; brown 5%,yellow
29,Rediscovering a known landscape,,2004,Joan Hernandez Pijuan,ca,Ecology & environment,https://galeriacayon.com/en/exposiciones/joan-hernandez-pijuan-rediscovering-color/,29.jpg,29,"(44, 45, 46)",black,45.4,"(68, 69, 70)",gray,15.9,"(100, 101, 101)",gray,12.4,"(132, 133, 133)",gray,11.1,"(167, 167, 164)",gray,9.6,"(203, 203, 200)",gray,5.6,45.4,0,54.6,0,0,0,0,0,0,0,0,gray 55%; black 45%,gray
30,Folquer,,1972,Joan Hernandez Pijuan,ca,Ecology & environment,https://galeriacayon.com/en/exposiciones/joan-hernandez-pijuan-rediscovering-color/,30.jpg,30,"(114, 124, 112)",gray,29.2,"(135, 144, 124)",gray,26.6,"(157, 162, 130)",gray,15.9,"(91, 98, 91)",gray,13.7,"(66, 73, 67)",gray,12.6,"(222, 223, 208)",white,2.1,0,2.1,97.9,0,0,0,0,0,0,0,0,gray 98%,gray
31,Greek Head and Blue Dress,,1958,Antonio Lopez Garcia,es,Unknown,https://realismtoday.com/on-painting-antonio-lopez-garcia/,31.jpg,31,"(158, 140, 124)",gray,19.2,"(98, 75, 66)",brown,18.1,"(66, 53, 54)",black,17.9,"(183, 179, 164)",gray,17.5,"(119, 108, 104)",gray,14.8,"(226, 227, 214)",white,12.5,17.9,12.5,51.5,0,0,0,0,18.1,0,0,0,gray 52%; brown 18%; black 18%; white 13%,gray
32,Sinforoso and Josefa,,1955,Antonio Lopez Garcia,es,physical description,https://realismtoday.com/on-painting-antonio-lopez-garcia/,32.jpg,32,"(163, 158, 144)",gray,26.5,"(145, 139, 123)",gray,25.1,"(120, 114, 99)",gray,13.9,"(62, 56, 50)",black,12.2,"(89, 83, 74)",gray,11.4,"(190, 185, 170)",gray,11,12.2,0,87.8,0,0,0,0,0,0,0,0,gray 88%; black 12%,gray
33,The Table,,1980,Antonio Lopez Garcia,es,Life experiences,https://learn.theopensketchbook.com/pages/blog?p=antonio-l%C3%B3pez-garc%C3%ADas-transitory-figures,33.jpg,33,"(78, 84, 67)",gray,29.2,"(98, 102, 84)",gray,28,"(243, 222, 160)",yellow,12.6,"(154, 134, 97)",brown,11.4,"(207, 180, 125)",yellow,10.6,"(36, 43, 34)",black,8.3,8.3,0,57.2,0,0,23.1,0,11.4,0,0,0,gray 57%; yellow 23%; brown 11%; black 8%,gray
34,Atocha,,1964,Antonio Lopez Garcia,es,Life experiences,https://cargocollective.com/cornhoshukmei/Atocha-painting-by-Antonio-Lopez-Gorcia,34.jpg,34,"(118, 112, 107)",gray,25.2,"(236, 228, 218)",white,22.1,"(97, 90, 85)",gray,21.6,"(67, 64, 61)",gray,13.5,"(217, 208, 195)",white,9.8,"(163, 153, 144)",gray,7.9,0,31.9,68.1,0,0,0,0,0,0,0,0,gray 68%; white 32%,gray
35,Dead Girl,,1957,Antonio Lopez Garcia,es,Death ,https://collections.mfa.org/objects/398831,35.jpg,35,"(205, 196, 186)",gray,21.3,"(182, 173, 165)",gray,20.8,"(157, 148, 139)",gray,20.1,"(132, 121, 111)",gray,17.1,"(102, 91, 83)",gray,13,"(70, 54, 46)",brown,7.7,0,0,92.3,0,0,0,0,7.7,0,0,0,gray 92%; brown 8%,gray
36,Naturaleza Viva,,1943,Maruja Mallo,es,Unknown,https://www.artchive.com/artwork/naturaleza-viva-maruja-mallo-1943/,36.jpg,36,"(243, 233, 230)",white,68.3,"(221, 198, 191)",gray,11,"(213, 155, 190)",pink,9.7,"(201, 158, 138)",brown,4.8,"(52, 40, 40)",black,3.2,"(179, 79, 54)",brown,3,3.2,68.3,11,0,0,0,0,7.8,0,9.7,0,white 68%; gray 11%; pink 10%; brown 8%; black 3%,white
